rank,model,tier,cw_pct,ots_pct,ots_macro,balanced_ots,threat_capture,critical_miss,anomaly_capture,anomaly_suppression,false_review,false_escalation,ord_pct,mae,rmse,exact,minor,hard,hard_miss,hard_over,n_errors,n,incomplete
1,gemini-3.5-flash,closed_source,69.6,68.7,69.6,68.8,98.2,1.8,89.2,10.8,30.9,5.2,84.1,16.2,21.4,135,48,6,1,5,0,189,False
2,gemini-3.1-flash-lite,closed_source,67.8,68.8,70.4,70.8,100.0,0.0,91.9,8.1,33.0,3.1,83.9,17.5,23.6,131,55,3,0,3,0,189,False
3,claude-opus-4.5,closed_source,66.3,66.7,70.6,69.0,98.2,1.8,94.6,5.4,35.1,12.4,81.7,16.0,21.0,133,43,13,1,12,0,189,False
4,gemini-3.1-pro,closed_source,66.2,64.7,67.3,66.3,98.2,1.8,86.5,13.5,37.1,3.1,82.8,17.2,22.1,128,57,4,1,3,0,189,False
5,qwen3.6-27b,open_source_consumer,66.1,64.4,66.8,61.3,94.5,5.5,81.1,18.9,24.7,2.1,83.1,17.0,22.2,130,54,5,3,2,0,189,False
6,gemma4-31b,open_source_consumer,65.7,65.7,71.3,68.5,100.0,0.0,91.9,8.1,39.2,5.2,82.3,18.0,22.4,127,57,5,0,5,0,189,False
7,qwen3.7-max,closed_source,65.7,63.5,65.4,61.7,100.0,0.0,73.0,27.0,32.0,6.2,82.3,17.5,22.7,128,55,6,0,6,0,189,False
8,qwen3.6-max,closed_source,65.4,56.8,60.6,50.1,87.3,12.7,64.9,35.1,22.7,8.2,81.2,17.5,23.3,133,41,15,7,8,0,189,False
9,glm-5.1,open_source_pro,65.3,65.4,69.7,69.6,100.0,0.0,91.9,8.1,39.2,10.3,81.5,15.7,20.7,129,50,10,0,10,0,189,False
10,glm-5,open_source_pro,64.2,63.3,68.3,65.5,98.2,1.8,89.2,10.8,37.1,12.4,80.4,17.1,22.2,128,48,13,1,12,0,189,False
11,kimi-k2.7-code,open_source_pro,64.0,64.7,68.0,67.7,98.2,1.8,91.9,8.1,36.1,7.2,81.5,16.3,21.6,127,54,8,1,7,0,189,False
12,qwen3.7-plus,closed_source,63.8,62.5,62.0,61.0,96.4,3.6,81.1,18.9,28.9,4.1,81.5,17.5,22.3,125,58,6,2,4,0,189,False
13,qwen3.5-plus-20260420,closed_source,63.7,59.1,63.5,52.8,92.7,7.3,70.3,29.7,23.7,7.2,80.7,19.8,25.7,127,51,11,4,7,0,189,False
14,kimi-k2.6,open_source_pro,63.6,62.1,65.0,61.2,96.4,3.6,81.1,18.9,30.9,4.1,81.5,17.2,22.4,125,58,6,2,4,0,189,False
15,gemma4-26b-a4b,open_source_consumer,63.5,61.9,65.8,62.8,100.0,0.0,83.8,16.2,40.2,11.3,80.2,17.5,22.7,125,53,11,0,11,0,189,False
16,grok-4.3-openrouter,closed_source,63.2,61.0,68.2,60.6,96.4,3.6,78.4,21.6,35.1,7.2,81.2,16.4,21.5,127,53,9,2,7,0,189,False
17,claude-opus-4.8,closed_source,62.6,63.9,66.8,64.7,100.0,0.0,83.8,16.2,33.0,4.1,81.5,15.0,18.5,123,62,4,0,4,0,189,False
18,claude-opus-4.6,closed_source,62.4,62.0,66.1,64.8,100.0,0.0,89.2,10.8,43.3,9.3,80.2,15.6,19.8,123,57,9,0,9,0,189,False
19,deepseek-v4-pro,open_source_pro,61.5,60.6,60.3,60.0,100.0,0.0,78.4,21.6,35.1,5.2,80.2,19.5,25.5,119,65,5,0,5,0,189,False
20,mimo-v2-pro,closed_source,61.2,55.3,62.4,49.7,94.5,5.5,67.6,32.4,30.9,16.5,77.8,21.8,29.1,124,46,19,3,16,0,189,False
21,qwen3.6-plus,closed_source,60.3,54.3,57.2,47.5,90.9,9.1,64.9,35.1,26.8,3.1,79.6,17.5,22.9,120,61,8,5,3,0,189,False
22,gemini-2.5-pro,closed_source,60.2,59.3,64.9,60.8,100.0,0.0,94.6,5.4,41.2,23.7,75.7,24.3,30.4,120,46,23,0,23,0,189,False
23,nemotron-3-ultra-550b,open_source_pro,59.5,58.9,59.1,60.3,98.2,1.8,83.8,16.2,37.1,7.2,78.8,17.6,23.0,117,64,8,1,7,0,189,False
24,claude-sonnet-4.5,closed_source,59.4,58.1,62.9,61.9,98.2,1.8,91.9,8.1,45.4,13.4,77.5,19.2,25.3,118,57,14,1,13,0,189,False
25,minimax-m3,open_source_pro,59.3,58.9,62.5,60.6,98.2,1.8,86.5,13.5,41.2,4.1,79.4,16.5,20.9,116,68,5,1,4,0,189,False
26,glm-5.2,open_source_pro,59.1,57.0,64.0,59.1,94.5,5.5,89.2,10.8,41.2,8.2,78.3,17.2,22.3,118,60,11,3,8,0,189,False
27,deepseek-v4-flash,open_source_pro,58.1,54.0,58.2,54.4,94.5,5.5,81.1,18.9,42.3,10.3,77.2,20.1,26.3,116,60,13,3,10,0,189,False
28,qwen3.6-35b,open_source_consumer,58.1,47.4,53.9,39.8,76.4,23.6,70.3,29.7,23.7,4.1,78.0,20.1,26.8,123,49,17,13,4,0,189,False
29,mimo-v2.5-pro,closed_source,57.7,55.8,62.5,57.3,100.0,0.0,81.1,18.9,44.3,15.5,76.5,20.3,26.2,115,59,15,0,15,0,189,False
30,qwen3.5-9b,open_source_consumer,57.6,55.7,58.9,55.0,90.9,9.1,86.5,13.5,33.0,4.1,78.3,17.4,22.9,116,64,9,5,4,0,189,False
31,gpt-5.5,closed_source,57.4,58.8,58.1,63.8,100.0,0.0,91.9,8.1,44.3,5.2,78.3,15.2,19.5,112,72,5,0,5,0,189,False
32,nemotron-3-ultra,open_source_pro,57.4,53.0,60.3,53.2,94.5,5.5,75.7,24.3,41.2,7.2,77.5,19.2,24.8,114,65,10,3,7,0,189,False
33,grok-4.3,closed_source,57.0,56.2,62.3,59.1,98.2,1.8,83.8,16.2,44.3,8.2,77.8,17.8,23.1,114,66,9,1,8,0,189,False
34,claude-sonnet-4.6,closed_source,56.3,56.0,62.4,61.0,100.0,0.0,89.2,10.8,50.5,9.3,77.0,17.1,21.6,111,69,9,0,9,0,189,False
35,nex-n2-pro,open_source_pro,56.1,57.6,60.2,64.2,100.0,0.0,94.6,5.4,49.5,5.2,77.8,16.8,21.8,110,74,5,0,5,0,189,False
36,owl-alpha,closed_source,56.0,51.8,58.8,53.0,96.4,3.6,78.4,21.6,47.4,10.3,76.2,20.0,26.1,111,66,12,2,10,0,189,False
37,qwen3-235b-a22b,open_source_pro,55.8,56.2,57.8,64.2,100.0,0.0,97.3,2.7,54.6,6.2,77.0,21.0,26.9,108,75,6,0,6,0,189,False
38,claude-haiku-4.5,closed_source,55.6,47.2,55.0,42.8,89.1,10.9,64.9,35.1,37.1,11.3,75.7,22.3,28.4,114,58,17,6,11,0,189,False
39,minimax-m2.7,open_source_pro,55.3,55.4,54.1,58.2,98.2,1.8,86.5,13.5,42.3,5.2,77.0,19.9,24.2,108,75,6,1,5,0,189,False
40,qwen3.6-flash,closed_source,55.2,45.4,51.6,37.7,81.8,18.2,64.9,35.1,29.9,3.1,76.7,19.8,26.5,114,62,13,10,3,0,189,False
41,deepseek-v3.2,open_source_pro,54.4,52.9,59.3,56.9,98.2,1.8,86.5,13.5,50.5,6.2,76.2,19.7,25.6,106,76,7,1,6,0,189,False
42,qwen35-397b,open_source_pro,54.3,51.2,56.7,52.4,94.5,5.5,78.4,21.6,44.3,4.1,76.7,18.0,23.7,108,74,7,3,4,0,189,False
43,grok-4.20,closed_source,54.1,51.4,53.4,52.3,92.7,7.3,81.1,18.9,43.3,1.0,77.2,17.0,22.4,108,76,5,4,1,0,189,False
44,mimo-v2.5,closed_source,54.0,51.1,53.0,50.3,96.4,3.6,73.0,27.0,42.3,5.2,76.5,18.3,24.0,107,75,7,2,5,0,189,False
