rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,qwen3-235b-a22b,61.1,68.4,0.0,100.0,50.0,3.9,0.00,31.93,155,False
2,glm-5.1,67.3,66.1,0.0,100.0,34.2,7.9,,43.93,155,False
3,kimi-k2.5,68.7,65.4,2.3,97.7,31.6,6.6,,37.74,155,False
4,deepseek-v4-pro,65.3,65.2,0.0,100.0,31.6,5.3,,36.63,155,False
5,glm-5,64.7,64.7,0.0,100.0,34.2,7.9,,38.18,155,False
6,kimi-k2.6,63.8,63.2,0.0,100.0,32.9,3.9,,63.32,155,False
7,deepseek-v4-flash,63.7,62.3,0.0,100.0,31.6,9.2,0.10,25.47,155,False
8,qwen35-397b,57.6,61.9,0.0,100.0,43.4,2.6,,46.97,155,False
9,deepseek-v3.2,55.4,60.1,0.0,100.0,52.6,10.5,0.32,73.10,155,False
10,ring-2.6-1t,61.3,58.2,6.8,93.2,39.5,7.9,,40.47,155,False
11,deepseek-v3.1,54.4,57.4,0.0,100.0,48.7,7.9,,18.42,155,False
12,nemotron-3-super-120b,53.7,57.0,0.0,100.0,44.7,6.6,,43.50,155,False
13,qwen3.5-plus-20260420,63.0,50.3,11.4,88.6,22.4,5.3,,43.94,155,False
14,qwen3.6-plus,61.3,47.3,11.4,88.6,25.0,3.9,,41.21,155,False
15,qwen3.6-max,64.2,45.8,13.6,86.4,21.1,7.9,,105.62,155,False
16,mistral-nemo,38.5,32.3,9.1,90.9,61.8,18.4,,5.90,155,False
