rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,glm-5.1,65.3,69.6,0.0,100.0,39.2,10.3,0.84,36.35,189,False
2,qwen3-235b-a22b,55.8,64.2,0.0,100.0,54.6,6.2,0.08,29.90,189,False
3,kimi-k2.7-code,61.4,60.9,1.8,98.2,38.1,7.2,1.02,28.41,189,False
4,minimax-m3,59.3,60.6,1.8,98.2,41.2,4.1,,38.47,189,False
5,glm-5,57.2,60.5,0.0,100.0,43.3,7.2,0.66,38.56,189,False
6,nemotron-3-ultra-550b,59.5,60.3,1.8,98.2,37.1,7.2,0.56,54.03,189,False
7,kimi-k2.6,59.6,58.2,1.8,98.2,35.1,5.2,1.11,77.60,189,False
8,deepseek-v4-pro,60.7,58.1,0.0,100.0,35.1,4.1,0.28,32.00,189,False
9,deepseek-v3.1,53.5,57.1,0.0,100.0,52.6,9.3,0.16,18.10,189,False
10,deepseek-v3.2,54.4,56.9,1.8,98.2,50.5,6.2,0.16,47.04,189,False
11,minimax-m2.7,53.5,56.7,3.6,96.4,44.3,2.1,0.28,20.03,189,False
12,nemotron-3-super-120b,50.6,56.4,0.0,100.0,50.5,6.2,0.13,38.22,189,False
