rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,gemini-3.5-flash,67.7,64.9,3.6,96.4,30.9,5.2,2.24,9.13,189,False
2,mimo-v2-pro,59.8,47.4,7.3,92.7,30.9,16.5,0.68,10.01,189,False
3,gemini-3.1-flash-lite,67.3,70.3,0.0,100.0,33.0,3.1,0.24,2.08,189,False
4,claude-opus-4.5,65.8,68.6,1.8,98.2,35.1,12.4,4.74,9.68,189,False
5,grok-4-openrouter,60.4,55.6,7.3,92.7,36.1,11.3,5.89,22.87,189,False
6,gemini-3.1-pro,65.6,66.1,1.8,98.2,37.1,3.1,4.44,22.53,189,False
7,grok-4.1-fast,58.2,49.6,10.9,89.1,37.1,13.4,0.26,9.85,189,False
8,claude-haiku-4.5,54.2,40.6,12.7,87.3,37.1,11.3,0.98,5.93,189,False
9,grok-4-fast,57.5,47.8,9.1,90.9,38.1,13.4,0.15,9.01,189,False
10,gemini-2.5-pro,59.3,58.9,1.8,98.2,41.2,23.7,1.99,15.90,189,False
11,grok-4.20,55.6,53.8,7.3,92.7,42.3,1.0,0.87,8.53,189,False
12,claude-opus-4.6,61.9,64.4,0.0,100.0,43.3,9.3,4.83,11.49,189,False
13,grok-4.3,56.3,55.3,3.6,96.4,43.3,7.2,1.01,16.59,189,False
14,minimax-m2.7,52.6,54.6,3.6,96.4,43.3,2.1,0.27,20.44,189,False
15,gpt-5.5,56.3,62.9,0.0,100.0,44.3,5.2,5.57,62.11,189,False
16,claude-sonnet-4.5,58.4,61.0,1.8,98.2,45.4,13.4,2.88,11.72,189,False
17,gpt-5,52.0,56.5,0.0,100.0,47.4,4.1,1.92,27.77,189,False
18,gpt-5.4,48.0,55.6,1.8,98.2,47.4,0.0,2.33,7.47,189,False
19,gpt-5.4-mini,49.4,46.9,10.9,89.1,47.4,4.1,0.68,4.21,189,False
20,minimax-m2.5,50.7,50.9,0.0,100.0,48.5,1.0,0.21,18.27,189,False
21,claude-sonnet-4.6,55.5,60.3,0.0,100.0,50.5,8.2,3.01,12.08,189,False
22,gemini-2.5-flash,51.9,52.4,1.8,98.2,53.6,18.6,0.35,3.04,189,False
