rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,kimi-k2.6,63.6,61.2,3.6,96.4,30.9,4.1,1.21,72.45,189,False
2,deepseek-v4-pro,61.5,60.0,0.0,100.0,35.1,5.2,0.27,29.82,189,False
3,kimi-k2.7-code,64.0,67.7,1.8,98.2,36.1,7.2,1.05,26.45,189,False
4,glm-5,64.2,65.5,1.8,98.2,37.1,12.4,0.75,34.96,189,False
5,nemotron-3-ultra-550b,59.5,60.3,1.8,98.2,37.1,7.2,0.53,54.03,189,False
6,glm-5.1,65.3,69.6,0.0,100.0,39.2,10.3,0.84,36.35,189,False
7,minimax-m3,59.3,60.6,1.8,98.2,41.2,4.1,0.31,38.47,189,False
8,glm-5.2,59.1,59.1,5.5,94.5,41.2,8.2,1.24,27.16,189,False
9,nemotron-3-ultra,57.4,53.2,5.5,94.5,41.2,7.2,0.49,11.51,189,False
10,minimax-m2.7,55.3,58.2,1.8,98.2,42.3,5.2,0.27,20.99,189,False
11,deepseek-v4-flash,58.1,54.4,5.5,94.5,42.3,10.3,0.17,18.99,189,False
12,qwen35-397b,54.3,52.4,5.5,94.5,44.3,4.1,0.54,39.67,189,False
13,nemotron-3-super-120b,51.0,55.3,1.8,98.2,46.4,5.2,0.10,32.66,189,False
14,nex-n2-pro,56.1,64.2,0.0,100.0,49.5,5.2,0.00,16.53,189,False
15,deepseek-v3.2,54.4,56.9,1.8,98.2,50.5,6.2,0.16,47.04,189,False
16,deepseek-v3.1,53.5,57.1,0.0,100.0,52.6,9.3,0.16,18.10,189,False
17,qwen3-235b-a22b,55.8,64.2,0.0,100.0,54.6,6.2,0.08,29.90,189,False
